vrFragment_trace.txt_vr_frag_thput_mbps,0.253,1.894,0.363
vrFragment_trace.txt_vr_burst_thput_mbps,10.338,1.505,-0.229
vrFragment_trace.txt_vr_frag_time,123.091,0.772,-0.703
vrFragment_trace.txt_vr_burst_time,127.023,0.827,-0.703
delay_trace.txt_ul_delay,13.43,0.52,-0.493
delay_trace.txt_dl_delay,13.35,0.3,-0.135
vrFragment_trace.txt_vr_frag_thput_mbps,0.216,1.387,0.482
vrFragment_trace.txt_vr_burst_thput_mbps,10.711,2.31,0.243
vrFragment_trace.txt_vr_frag_time,100.896,2.496,-0.039
vrFragment_trace.txt_vr_burst_time,102.492,2.659,-0.045
delay_trace.txt_ul_delay,10.602,0.473,0.006
delay_trace.txt_dl_delay,16.636,1.856,0.067
vrFragment_trace.txt_vr_frag_thput_mbps,0.209,1.391,0.521
vrFragment_trace.txt_vr_burst_thput_mbps,9.224,1.673,0.391
vrFragment_trace.txt_vr_frag_time,81.204,2.189,0.307
vrFragment_trace.txt_vr_burst_time,83.255,2.331,0.303
delay_trace.txt_ul_delay,9.443,0.423,0.038
delay_trace.txt_dl_delay,13.925,1.456,0.213
vrFragment_trace.txt_vr_frag_thput_mbps,0.201,1.358,0.548
vrFragment_trace.txt_vr_burst_thput_mbps,8.776,1.623,0.438
vrFragment_trace.txt_vr_frag_time,58.794,1.199,0.617
vrFragment_trace.txt_vr_burst_time,60.009,1.259,0.615
delay_trace.txt_ul_delay,9.175,0.411,0.069
delay_trace.txt_dl_delay,12.33,1.215,0.338
