vrFragment_trace.txt_vr_frag_thput_mbps,0.078,0.544,0.919
vrFragment_trace.txt_vr_burst_thput_mbps,5.893,0.815,0.661
vrFragment_trace.txt_vr_frag_time,40.722,0.64,0.81
vrFragment_trace.txt_vr_burst_time,40.316,0.859,0.834
delay_trace.txt_ul_delay,6.171,0.243,0.5
delay_trace.txt_dl_delay,6.565,0.455,0.729
vrFragment_trace.txt_vr_frag_thput_mbps,0.117,0.653,0.794
vrFragment_trace.txt_vr_burst_thput_mbps,4.58,0.56,0.749
vrFragment_trace.txt_vr_frag_time,32.299,0.547,0.876
vrFragment_trace.txt_vr_burst_time,32.583,0.62,0.879
delay_trace.txt_ul_delay,6.733,0.273,0.552
delay_trace.txt_dl_delay,4.698,0.393,0.894
vrFragment_trace.txt_vr_frag_thput_mbps,0.108,0.489,0.803
vrFragment_trace.txt_vr_burst_thput_mbps,4.462,0.525,0.748
vrFragment_trace.txt_vr_frag_time,32.229,0.491,0.859
vrFragment_trace.txt_vr_burst_time,32.215,0.443,0.855
delay_trace.txt_ul_delay,7.328,0.3,0.359
delay_trace.txt_dl_delay,5.631,0.458,0.819
vrFragment_trace.txt_vr_frag_thput_mbps,0.103,0.412,0.796
vrFragment_trace.txt_vr_burst_thput_mbps,4.191,0.501,0.789
vrFragment_trace.txt_vr_frag_time,30.083,0.439,0.878
vrFragment_trace.txt_vr_burst_time,31.673,0.522,0.868
delay_trace.txt_ul_delay,6.757,0.282,0.446
delay_trace.txt_dl_delay,6.045,0.538,0.807
