vrFragment_trace.txt_vr_frag_thput_mbps,0.226,2.02,0.432
vrFragment_trace.txt_vr_burst_thput_mbps,9.209,1.652,0.371
vrFragment_trace.txt_vr_frag_time,108.07,0.985,-0.437
vrFragment_trace.txt_vr_burst_time,115.423,1.006,-0.528
delay_trace.txt_ul_delay,12.717,0.443,-0.34
delay_trace.txt_dl_delay,10.294,0.364,0.042
vrFragment_trace.txt_vr_frag_thput_mbps,0.216,2.293,0.473
vrFragment_trace.txt_vr_burst_thput_mbps,8.411,1.418,0.457
vrFragment_trace.txt_vr_frag_time,95.805,1.777,-0.027
vrFragment_trace.txt_vr_burst_time,97.683,1.75,-0.059
delay_trace.txt_ul_delay,8.296,0.328,0.013
delay_trace.txt_dl_delay,10.974,0.906,0.288
vrFragment_trace.txt_vr_frag_thput_mbps,0.213,1.787,0.507
vrFragment_trace.txt_vr_burst_thput_mbps,7.812,1.308,0.513
vrFragment_trace.txt_vr_frag_time,67.49,1.282,0.48
vrFragment_trace.txt_vr_burst_time,69.597,1.388,0.438
delay_trace.txt_ul_delay,8.967,0.408,0.051
delay_trace.txt_dl_delay,12.38,1.174,0.311
vrFragment_trace.txt_vr_frag_thput_mbps,0.198,1.572,0.543
vrFragment_trace.txt_vr_burst_thput_mbps,7.336,1.209,0.547
vrFragment_trace.txt_vr_frag_time,46.678,0.826,0.766
vrFragment_trace.txt_vr_burst_time,49.044,0.899,0.744
delay_trace.txt_ul_delay,9.384,0.426,0.056
delay_trace.txt_dl_delay,11.944,1.136,0.378
vrFragment_trace.txt_vr_frag_thput_mbps,0.195,1.599,0.576
vrFragment_trace.txt_vr_burst_thput_mbps,6.831,1.074,0.586
vrFragment_trace.txt_vr_frag_time,39.432,0.742,0.828
vrFragment_trace.txt_vr_burst_time,40.468,0.795,0.823
delay_trace.txt_ul_delay,9.15,0.42,0.062
delay_trace.txt_dl_delay,11.814,1.197,0.427
vrFragment_trace.txt_vr_frag_thput_mbps,0.175,1.197,0.613
vrFragment_trace.txt_vr_burst_thput_mbps,6.315,0.914,0.616
vrFragment_trace.txt_vr_frag_time,36.578,0.701,0.85
vrFragment_trace.txt_vr_burst_time,37.991,0.762,0.842
delay_trace.txt_ul_delay,9.505,0.44,0.066
delay_trace.txt_dl_delay,11.337,1.178,0.485
