vrFragment_trace.txt_vr_frag_thput_mbps,0.257,2.394,0.314
vrFragment_trace.txt_vr_burst_thput_mbps,9.082,1.043,0.212
vrFragment_trace.txt_vr_frag_time,121.582,0.763,-0.658
vrFragment_trace.txt_vr_burst_time,124.721,0.81,-0.642
delay_trace.txt_dl_delay,14.68,0.744,-0.128
vrFragment_trace.txt_vr_frag_thput_mbps,0.255,2.385,0.305
vrFragment_trace.txt_vr_burst_thput_mbps,8.378,1.366,0.412
vrFragment_trace.txt_vr_frag_time,110.44,0.738,-0.378
vrFragment_trace.txt_vr_burst_time,111.379,0.76,-0.37
delay_trace.txt_dl_delay,13.84,0.918,-0.103
vrFragment_trace.txt_vr_frag_thput_mbps,0.249,2.4,0.331
vrFragment_trace.txt_vr_burst_thput_mbps,7.944,1.291,0.464
vrFragment_trace.txt_vr_frag_time,82.277,0.915,0.178
vrFragment_trace.txt_vr_burst_time,81.513,0.951,0.19
delay_trace.txt_dl_delay,20.401,2.267,-1.194
vrFragment_trace.txt_vr_frag_thput_mbps,0.233,1.913,0.375
vrFragment_trace.txt_vr_burst_thput_mbps,8.074,1.251,0.449
vrFragment_trace.txt_vr_frag_time,62.187,1.005,0.571
vrFragment_trace.txt_vr_burst_time,63.503,1.04,0.572
delay_trace.txt_dl_delay,13.742,0.896,-0.154
vrFragment_trace.txt_vr_frag_thput_mbps,0.22,1.632,0.44
vrFragment_trace.txt_vr_burst_thput_mbps,7.908,1.27,0.465
vrFragment_trace.txt_vr_frag_time,51.371,0.821,0.697
vrFragment_trace.txt_vr_burst_time,51.977,0.86,0.697
delay_trace.txt_dl_delay,12.298,0.567,-0.058
vrFragment_trace.txt_vr_frag_thput_mbps,0.214,1.573,0.469
vrFragment_trace.txt_vr_burst_thput_mbps,7.828,1.271,0.478
vrFragment_trace.txt_vr_frag_time,49.658,0.885,0.72
vrFragment_trace.txt_vr_burst_time,50.717,0.939,0.716
delay_trace.txt_dl_delay,13.348,0.968,-0.035
