vrFragment_trace.txt_vr_frag_thput_mbps,0.007,0.088,0.999
vrFragment_trace.txt_vr_burst_thput_mbps,0.316,0.102,0.999
vrFragment_trace.txt_vr_frag_time,1.905,0.048,0.999
vrFragment_trace.txt_vr_burst_time,2.471,0.063,0.999
delay_trace.txt_ul_delay,0.822,0.042,0.993
delay_trace.txt_dl_delay,0.52,0.054,0.998
vrFragment_trace.txt_vr_frag_thput_mbps,0.014,0.164,0.997
vrFragment_trace.txt_vr_burst_thput_mbps,0.71,0.17,0.994
vrFragment_trace.txt_vr_frag_time,1.646,0.041,0.999
vrFragment_trace.txt_vr_burst_time,3.163,0.074,0.999
delay_trace.txt_ul_delay,1.159,0.065,0.993
delay_trace.txt_dl_delay,0.685,0.081,0.998
vrFragment_trace.txt_vr_frag_thput_mbps,0.017,0.147,0.995
vrFragment_trace.txt_vr_burst_thput_mbps,1.007,0.207,0.988
vrFragment_trace.txt_vr_frag_time,1.987,0.042,0.999
vrFragment_trace.txt_vr_burst_time,3.73,0.076,0.998
delay_trace.txt_ul_delay,1.459,0.077,0.984
delay_trace.txt_dl_delay,0.729,0.08,0.998
vrFragment_trace.txt_vr_frag_thput_mbps,0.024,0.19,0.99
vrFragment_trace.txt_vr_burst_thput_mbps,1.353,0.21,0.976
vrFragment_trace.txt_vr_frag_time,2.399,0.046,0.999
vrFragment_trace.txt_vr_burst_time,4.618,0.085,0.996
delay_trace.txt_ul_delay,1.411,0.074,0.984
delay_trace.txt_dl_delay,1.021,0.09,0.996
vrFragment_trace.txt_vr_frag_thput_mbps,0.055,0.666,0.972
vrFragment_trace.txt_vr_burst_thput_mbps,2.436,0.697,0.948
vrFragment_trace.txt_vr_frag_time,14.546,0.402,0.98
vrFragment_trace.txt_vr_burst_time,15.206,0.426,0.977
delay_trace.txt_ul_delay,2.081,0.102,0.949
delay_trace.txt_dl_delay,2.815,0.304,0.971
vrFragment_trace.txt_vr_frag_thput_mbps,0.056,0.673,0.97
vrFragment_trace.txt_vr_burst_thput_mbps,2.538,0.705,0.943
vrFragment_trace.txt_vr_frag_time,14.574,0.404,0.98
vrFragment_trace.txt_vr_burst_time,15.315,0.428,0.976
delay_trace.txt_ul_delay,2.102,0.102,0.943
delay_trace.txt_dl_delay,2.866,0.304,0.969
