vrFragment_trace.txt_vr_frag_thput_mbps,0.172,2.359,0.544
vrFragment_trace.txt_vr_burst_thput_mbps,4.373,0.774,0.807
vrFragment_trace.txt_vr_frag_time,31.319,0.564,0.903
vrFragment_trace.txt_vr_burst_time,31.127,0.572,0.903
delay_trace.txt_dl_delay,13.644,1.47,0.268
vrFragment_trace.txt_vr_frag_thput_mbps,0.176,1.55,0.658
vrFragment_trace.txt_vr_burst_thput_mbps,3.834,0.706,0.852
vrFragment_trace.txt_vr_frag_time,24.289,0.462,0.942
vrFragment_trace.txt_vr_burst_time,25.519,0.487,0.944
delay_trace.txt_dl_delay,11.895,1.206,0.356
vrFragment_trace.txt_vr_frag_thput_mbps,0.141,1.012,0.743
vrFragment_trace.txt_vr_burst_thput_mbps,3.952,0.622,0.838
vrFragment_trace.txt_vr_frag_time,22.747,0.368,0.957
vrFragment_trace.txt_vr_burst_time,24.981,0.442,0.944
delay_trace.txt_dl_delay,9.135,0.577,0.423
vrFragment_trace.txt_vr_frag_thput_mbps,0.141,1.14,0.761
vrFragment_trace.txt_vr_burst_thput_mbps,3.884,0.522,0.827
vrFragment_trace.txt_vr_frag_time,22.657,0.325,0.951
vrFragment_trace.txt_vr_burst_time,23.193,0.381,0.953
delay_trace.txt_dl_delay,10.306,0.896,0.449
vrFragment_trace.txt_vr_frag_thput_mbps,0.118,1.096,0.849
vrFragment_trace.txt_vr_burst_thput_mbps,2.546,0.287,0.915
vrFragment_trace.txt_vr_frag_time,11.757,0.194,0.985
vrFragment_trace.txt_vr_burst_time,11.402,0.207,0.983
delay_trace.txt_dl_delay,7.109,0.411,0.667
vrFragment_trace.txt_vr_frag_thput_mbps,0.067,0.438,0.933
vrFragment_trace.txt_vr_burst_thput_mbps,2.179,0.221,0.934
vrFragment_trace.txt_vr_frag_time,10.513,0.181,0.986
vrFragment_trace.txt_vr_burst_time,11.304,0.188,0.983
delay_trace.txt_dl_delay,6.446,0.392,0.729
