vrFragment_trace.txt_vr_frag_thput_mbps,0.244,2.015,0.281
vrFragment_trace.txt_vr_burst_thput_mbps,6.443,0.757,0.528
vrFragment_trace.txt_vr_frag_time,73.094,0.546,0.439
vrFragment_trace.txt_vr_burst_time,73.311,0.612,0.478
delay_trace.txt_dl_delay,9.659,0.511,0.501
vrFragment_trace.txt_vr_frag_thput_mbps,0.231,1.735,0.338
vrFragment_trace.txt_vr_burst_thput_mbps,6.426,0.782,0.544
vrFragment_trace.txt_vr_frag_time,57.812,0.569,0.617
vrFragment_trace.txt_vr_burst_time,56.954,0.625,0.645
delay_trace.txt_dl_delay,6.743,0.344,0.73
vrFragment_trace.txt_vr_frag_thput_mbps,0.228,1.992,0.414
vrFragment_trace.txt_vr_burst_thput_mbps,6.029,0.761,0.602
vrFragment_trace.txt_vr_frag_time,54.501,0.561,0.653
vrFragment_trace.txt_vr_burst_time,52.82,0.616,0.685
delay_trace.txt_dl_delay,6.079,0.371,0.806
vrFragment_trace.txt_vr_frag_thput_mbps,0.216,1.721,0.475
vrFragment_trace.txt_vr_burst_thput_mbps,6.095,0.815,0.612
vrFragment_trace.txt_vr_frag_time,44.693,0.573,0.759
vrFragment_trace.txt_vr_burst_time,50.573,0.584,0.705
delay_trace.txt_dl_delay,6.678,0.306,0.722
vrFragment_trace.txt_vr_frag_thput_mbps,0.148,1.038,0.71
vrFragment_trace.txt_vr_burst_thput_mbps,4.518,0.567,0.766
vrFragment_trace.txt_vr_frag_time,32.433,0.463,0.863
vrFragment_trace.txt_vr_burst_time,32.369,0.469,0.864
delay_trace.txt_dl_delay,5.869,0.442,0.804
vrFragment_trace.txt_vr_frag_thput_mbps,0.125,0.853,0.77
vrFragment_trace.txt_vr_burst_thput_mbps,4.357,0.528,0.779
vrFragment_trace.txt_vr_frag_time,31.479,0.406,0.864
vrFragment_trace.txt_vr_burst_time,30.586,0.43,0.875
delay_trace.txt_dl_delay,5.853,0.469,0.805
