vrFragment_trace.txt_vr_frag_thput_mbps,0.001,0.014,1.0
vrFragment_trace.txt_vr_burst_thput_mbps,1.292,0.462,0.983
vrFragment_trace.txt_vr_frag_time,22.415,0.441,0.952
vrFragment_trace.txt_vr_burst_time,21.519,0.394,0.952
delay_trace.txt_dl_delay,1.128,0.177,0.997
vrFragment_trace.txt_vr_frag_thput_mbps,0.011,0.084,0.998
vrFragment_trace.txt_vr_burst_thput_mbps,0.929,0.206,0.991
vrFragment_trace.txt_vr_frag_time,19.851,0.374,0.962
vrFragment_trace.txt_vr_burst_time,20.213,0.379,0.962
delay_trace.txt_dl_delay,1.349,0.177,0.995
vrFragment_trace.txt_vr_frag_thput_mbps,0.01,0.081,0.999
vrFragment_trace.txt_vr_burst_thput_mbps,1.182,0.238,0.983
vrFragment_trace.txt_vr_frag_time,19.413,0.361,0.961
vrFragment_trace.txt_vr_burst_time,23.706,0.414,0.937
delay_trace.txt_dl_delay,1.464,0.17,0.994
vrFragment_trace.txt_vr_frag_thput_mbps,0.016,0.114,0.996
vrFragment_trace.txt_vr_burst_thput_mbps,1.409,0.266,0.98
vrFragment_trace.txt_vr_frag_time,19.281,0.313,0.956
vrFragment_trace.txt_vr_burst_time,22.513,0.362,0.946
delay_trace.txt_dl_delay,2.061,0.235,0.982
vrFragment_trace.txt_vr_frag_thput_mbps,0.038,0.329,0.98
vrFragment_trace.txt_vr_burst_thput_mbps,3.195,0.43,0.88
vrFragment_trace.txt_vr_frag_time,26.494,0.373,0.911
vrFragment_trace.txt_vr_burst_time,26.649,0.388,0.908
delay_trace.txt_dl_delay,4.254,0.391,0.913
vrFragment_trace.txt_vr_frag_thput_mbps,0.041,0.325,0.977
vrFragment_trace.txt_vr_burst_thput_mbps,3.278,0.459,0.877
vrFragment_trace.txt_vr_frag_time,25.276,0.355,0.918
vrFragment_trace.txt_vr_burst_time,26.252,0.377,0.915
delay_trace.txt_dl_delay,4.241,0.399,0.916
