vrFragment_trace.txt_vr_frag_thput_mbps,0.168,2.408,0.714
vrFragment_trace.txt_vr_burst_thput_mbps,4.636,0.685,0.781
vrFragment_trace.txt_vr_frag_time,39.369,0.653,0.845
vrFragment_trace.txt_vr_burst_time,39.577,0.668,0.857
delay_trace.txt_dl_delay,14.81,1.531,0.323
vrFragment_trace.txt_vr_frag_thput_mbps,0.157,1.667,0.717
vrFragment_trace.txt_vr_burst_thput_mbps,4.549,0.762,0.791
vrFragment_trace.txt_vr_frag_time,32.813,0.593,0.892
vrFragment_trace.txt_vr_burst_time,35.974,0.604,0.881
delay_trace.txt_dl_delay,12.632,1.214,0.343
vrFragment_trace.txt_vr_frag_thput_mbps,0.167,1.887,0.657
vrFragment_trace.txt_vr_burst_thput_mbps,4.684,0.708,0.775
vrFragment_trace.txt_vr_frag_time,32.939,0.534,0.881
vrFragment_trace.txt_vr_burst_time,29.907,0.597,0.915
delay_trace.txt_dl_delay,12.887,1.278,0.339
vrFragment_trace.txt_vr_frag_thput_mbps,0.159,1.366,0.696
vrFragment_trace.txt_vr_burst_thput_mbps,4.912,0.685,0.751
vrFragment_trace.txt_vr_frag_time,31.497,0.476,0.888
vrFragment_trace.txt_vr_burst_time,30.833,0.524,0.904
delay_trace.txt_dl_delay,15.034,1.86,0.36
vrFragment_trace.txt_vr_frag_thput_mbps,0.139,1.063,0.751
vrFragment_trace.txt_vr_burst_thput_mbps,4.255,0.553,0.794
vrFragment_trace.txt_vr_frag_time,28.346,0.446,0.899
vrFragment_trace.txt_vr_burst_time,29.616,0.443,0.889
delay_trace.txt_dl_delay,8.627,0.706,0.595
vrFragment_trace.txt_vr_frag_thput_mbps,0.125,0.787,0.779
vrFragment_trace.txt_vr_burst_thput_mbps,4.183,0.545,0.8
vrFragment_trace.txt_vr_frag_time,27.927,0.422,0.9
vrFragment_trace.txt_vr_burst_time,29.676,0.446,0.886
delay_trace.txt_dl_delay,8.02,0.599,0.624
