vrFragment_trace.txt_vr_frag_thput_mbps,0.241,2.354,0.358
vrFragment_trace.txt_vr_burst_thput_mbps,9.024,0.719,-0.018
vrFragment_trace.txt_vr_frag_time,116.372,0.727,-0.58
vrFragment_trace.txt_vr_burst_time,118.332,0.763,-0.551
delay_trace.txt_dl_delay,13.029,0.361,-0.086
vrFragment_trace.txt_vr_frag_thput_mbps,0.261,2.469,0.199
vrFragment_trace.txt_vr_burst_thput_mbps,7.832,0.791,0.3
vrFragment_trace.txt_vr_frag_time,79.139,0.942,0.242
vrFragment_trace.txt_vr_burst_time,79.794,0.994,0.262
delay_trace.txt_dl_delay,11.745,0.394,-0.04
vrFragment_trace.txt_vr_frag_thput_mbps,0.242,1.903,0.308
vrFragment_trace.txt_vr_burst_thput_mbps,7.329,0.81,0.412
vrFragment_trace.txt_vr_frag_time,70.085,0.922,0.469
vrFragment_trace.txt_vr_burst_time,66.052,0.918,0.528
delay_trace.txt_dl_delay,11.188,0.4,0.034
vrFragment_trace.txt_vr_frag_thput_mbps,0.227,1.667,0.368
vrFragment_trace.txt_vr_burst_thput_mbps,7.337,0.843,0.413
vrFragment_trace.txt_vr_frag_time,55.051,0.735,0.653
vrFragment_trace.txt_vr_burst_time,57.075,0.77,0.65
delay_trace.txt_dl_delay,10.636,0.437,0.148
vrFragment_trace.txt_vr_frag_thput_mbps,0.213,1.321,0.386
vrFragment_trace.txt_vr_burst_thput_mbps,7.277,0.779,0.396
vrFragment_trace.txt_vr_frag_time,49.469,0.731,0.704
vrFragment_trace.txt_vr_burst_time,50.0,0.779,0.707
delay_trace.txt_dl_delay,9.353,0.553,0.412
vrFragment_trace.txt_vr_frag_thput_mbps,0.202,1.139,0.435
vrFragment_trace.txt_vr_burst_thput_mbps,7.161,0.736,0.401
vrFragment_trace.txt_vr_frag_time,48.558,0.763,0.714
vrFragment_trace.txt_vr_burst_time,49.484,0.801,0.71
delay_trace.txt_dl_delay,8.5,0.544,0.518
