vrFragment_trace.txt_vr_frag_thput_mbps,0.327,4.515,-0.029
vrFragment_trace.txt_vr_burst_thput_mbps,9.381,1.942,0.12
vrFragment_trace.txt_vr_frag_time,111.369,0.723,-0.427
vrFragment_trace.txt_vr_burst_time,115.675,0.805,-0.437
delay_trace.txt_ul_delay,11.292,0.435,-0.261
delay_trace.txt_dl_delay,13.161,0.516,-0.02
vrFragment_trace.txt_vr_frag_thput_mbps,0.245,2.533,0.347
vrFragment_trace.txt_vr_burst_thput_mbps,8.573,1.568,0.397
vrFragment_trace.txt_vr_frag_time,67.134,1.039,0.447
vrFragment_trace.txt_vr_burst_time,69.53,1.1,0.42
delay_trace.txt_ul_delay,9.0,0.335,0.04
delay_trace.txt_dl_delay,11.605,0.846,0.23
vrFragment_trace.txt_vr_frag_thput_mbps,0.2,1.668,0.546
vrFragment_trace.txt_vr_burst_thput_mbps,7.322,1.205,0.537
vrFragment_trace.txt_vr_frag_time,48.697,0.906,0.714
vrFragment_trace.txt_vr_burst_time,49.687,0.932,0.708
delay_trace.txt_ul_delay,7.963,0.319,0.155
delay_trace.txt_dl_delay,9.801,0.755,0.451
vrFragment_trace.txt_vr_frag_thput_mbps,0.192,1.441,0.582
vrFragment_trace.txt_vr_burst_thput_mbps,6.987,1.108,0.568
vrFragment_trace.txt_vr_frag_time,45.366,0.802,0.744
vrFragment_trace.txt_vr_burst_time,46.556,0.865,0.737
delay_trace.txt_ul_delay,7.765,0.305,0.163
delay_trace.txt_dl_delay,9.322,0.735,0.512
