vrFragment_trace.txt_vr_frag_thput_mbps,0.232,1.754,0.463
vrFragment_trace.txt_vr_burst_thput_mbps,11.721,3.718,0.033
vrFragment_trace.txt_vr_frag_time,113.771,0.74,-0.57
vrFragment_trace.txt_vr_burst_time,115.766,0.797,-0.554
delay_trace.txt_ul_delay,8.705,0.283,-0.111
delay_trace.txt_dl_delay,15.168,1.026,-0.031
vrFragment_trace.txt_vr_frag_thput_mbps,0.192,1.504,0.587
vrFragment_trace.txt_vr_burst_thput_mbps,8.201,1.299,0.461
vrFragment_trace.txt_vr_frag_time,71.885,1.669,0.425
vrFragment_trace.txt_vr_burst_time,75.439,1.895,0.402
delay_trace.txt_ul_delay,10.522,0.479,0.035
delay_trace.txt_dl_delay,12.563,1.199,0.306
vrFragment_trace.txt_vr_frag_thput_mbps,0.176,1.21,0.619
vrFragment_trace.txt_vr_burst_thput_mbps,7.085,1.305,0.574
vrFragment_trace.txt_vr_frag_time,48.71,0.858,0.726
vrFragment_trace.txt_vr_burst_time,50.965,0.939,0.707
delay_trace.txt_ul_delay,9.131,0.408,0.083
delay_trace.txt_dl_delay,10.7,1.027,0.486
vrFragment_trace.txt_vr_frag_thput_mbps,0.164,1.011,0.642
vrFragment_trace.txt_vr_burst_thput_mbps,6.695,1.177,0.598
vrFragment_trace.txt_vr_frag_time,46.496,0.829,0.749
vrFragment_trace.txt_vr_burst_time,47.096,0.853,0.747
delay_trace.txt_ul_delay,8.804,0.383,0.113
delay_trace.txt_dl_delay,9.642,0.923,0.56
