vrFragment_trace.txt_vr_frag_thput_mbps,0.292,4.065,0.143
vrFragment_trace.txt_vr_burst_thput_mbps,8.539,1.124,0.231
vrFragment_trace.txt_vr_frag_time,112.129,0.764,-0.385
vrFragment_trace.txt_vr_burst_time,121.925,0.803,-0.5
delay_trace.txt_ul_delay,9.964,0.309,-0.122
delay_trace.txt_dl_delay,10.907,0.46,0.05
vrFragment_trace.txt_vr_frag_thput_mbps,0.302,3.904,0.028
vrFragment_trace.txt_vr_burst_thput_mbps,7.91,1.013,0.379
vrFragment_trace.txt_vr_frag_time,90.725,0.804,0.116
vrFragment_trace.txt_vr_burst_time,93.798,0.834,0.118
delay_trace.txt_ul_delay,8.232,0.304,0.036
delay_trace.txt_dl_delay,10.504,0.603,0.193
vrFragment_trace.txt_vr_frag_thput_mbps,0.259,2.922,0.275
vrFragment_trace.txt_vr_burst_thput_mbps,7.531,1.079,0.44
vrFragment_trace.txt_vr_frag_time,69.016,0.793,0.427
vrFragment_trace.txt_vr_burst_time,72.108,0.831,0.397
delay_trace.txt_ul_delay,7.882,0.301,0.1
delay_trace.txt_dl_delay,10.549,0.605,0.285
vrFragment_trace.txt_vr_frag_thput_mbps,0.236,2.45,0.357
vrFragment_trace.txt_vr_burst_thput_mbps,7.284,1.119,0.501
vrFragment_trace.txt_vr_frag_time,54.905,0.749,0.63
vrFragment_trace.txt_vr_burst_time,57.263,0.813,0.619
delay_trace.txt_ul_delay,7.834,0.29,0.099
delay_trace.txt_dl_delay,10.056,0.622,0.368
vrFragment_trace.txt_vr_frag_thput_mbps,0.176,1.436,0.634
vrFragment_trace.txt_vr_burst_thput_mbps,6.332,0.883,0.636
vrFragment_trace.txt_vr_frag_time,35.092,0.617,0.875
vrFragment_trace.txt_vr_burst_time,35.443,0.666,0.88
delay_trace.txt_ul_delay,7.101,0.272,0.164
delay_trace.txt_dl_delay,7.241,0.518,0.703
vrFragment_trace.txt_vr_frag_thput_mbps,0.164,1.108,0.677
vrFragment_trace.txt_vr_burst_thput_mbps,6.047,0.84,0.659
vrFragment_trace.txt_vr_frag_time,28.995,0.615,0.918
vrFragment_trace.txt_vr_burst_time,30.652,0.634,0.91
delay_trace.txt_ul_delay,7.01,0.264,0.196
delay_trace.txt_dl_delay,6.546,0.427,0.74
